Date of Article,Time of Article,title,published,type,link,PTR Headline Sentiment,Flair Headline Sentiment,Flair Score
11/20/2024,17:09:19,Dollar Strengthens Amid Signs of U.S. Economic Resilience,Barrons.com,STORY,https://finance.yahoo.com/m/d62f82fd-e4c4-361e-9afb-fd2548344b90/dollar-strengthens-amid-signs.html,0.499,POSITIVE,0.984
11/14/2024,18:04:17,"France’s Economic Strengths Balance Increasingly Challenging Fiscal, Political Outlooks",FX Empire,STORY,https://finance.yahoo.com/news/france-economic-strengths-balance-increasingly-180417216.html,0.506,POSITIVE,0.537
11/12/2024,12:37:30,Dollar Index: Investors Buy Dollar as Trump Trade Ramps Up,FX Empire,STORY,https://finance.yahoo.com/news/dollar-index-investors-buy-dollar-123730520.html,0.536,NEGATIVE,0.87
11/08/2024,12:08:02,Germany: Stable Government Needed to Address Shifts in US Policy and Raise Growth Outlook,FX Empire,STORY,https://finance.yahoo.com/news/germany-stable-government-needed-address-120802233.html,0.535,POSITIVE,0.998
11/06/2024,14:50:49,US: Clear-cut Trump Victory Raises Medium-term Economic Risks Despite Reduction of Near-term Political Uncertainty,FX Empire,STORY,https://finance.yahoo.com/news/us-clear-cut-trump-victory-145049749.html,0.518,POSITIVE,0.531
11/06/2024,13:43:41,Dollar Poised for Biggest Gain in Eight Years After Trump Win,The Wall Street Journal,STORY,https://finance.yahoo.com/m/b518b849-e0b9-3921-8912-8c6ecd7992cd/dollar-poised-for-biggest.html,0.526,NEGATIVE,0.682
11/06/2024,11:27:47,"Europe's Trump Trade: Buy Bonds, Dump the Euro",The Wall Street Journal,STORY,https://finance.yahoo.com/m/b9e9abad-8f88-3035-a006-528e78d5609c/europe%27s-trump-trade%3A-buy.html,0.566,NEGATIVE,0.998
11/01/2024,10:38:13,Limited Headwinds for the Dollar After Advance GDP Misses Expectations,FX Empire,STORY,https://finance.yahoo.com/news/limited-headwinds-dollar-advance-gdp-103813018.html,0.507,NEGATIVE,0.988
11/22/2024,13:39:24,EUR/USD: Euro Plunges as Eurozone PMI Sinks in November,FX Empire,STORY,https://finance.yahoo.com/news/eur-usd-euro-plunges-eurozone-133924106.html,0.611,NEGATIVE,1.0
11/22/2024,13:39:24,EUR/USD: Euro Plunges as Eurozone PMI Sinks in November,FX Empire,STORY,https://finance.yahoo.com/news/eur-usd-euro-plunges-eurozone-133924106.html,0.611,NEGATIVE,1.0
11/22/2024,13:39:24,EUR/USD: Euro Plunges as Eurozone PMI Sinks in November,FX Empire,STORY,https://finance.yahoo.com/news/eur-usd-euro-plunges-eurozone-133924106.html,0.611,NEGATIVE,1.0
12/12/2024,10:10:40,Baltic States See Divergence in Their Macro-fiscal Outlooks,FX Empire,STORY,https://finance.yahoo.com/news/baltic-states-see-divergence-macro-101040130.html,0.51,NEGATIVE,0.722
12/12/2024,10:10:40,Baltic States See Divergence in Their Macro-fiscal Outlooks,FX Empire,STORY,https://finance.yahoo.com/news/baltic-states-see-divergence-macro-101040130.html,0.51,NEGATIVE,0.722
12/12/2024,10:10:40,Baltic States See Divergence in Their Macro-fiscal Outlooks,FX Empire,STORY,https://finance.yahoo.com/news/baltic-states-see-divergence-macro-101040130.html,0.51,NEGATIVE,0.722
12/12/2024,10:10:40,Baltic States See Divergence in Their Macro-fiscal Outlooks,FX Empire,STORY,https://finance.yahoo.com/news/baltic-states-see-divergence-macro-101040130.html,0.51,NEGATIVE,0.722
12/13/2024,16:04:22,Gains for the Dollar as American Inflation Rises as Expected,FX Empire,STORY,https://finance.yahoo.com/news/gains-dollar-american-inflation-rises-160422794.html,0.523,POSITIVE,0.985
12/13/2024,16:04:22,Gains for the Dollar as American Inflation Rises as Expected,FX Empire,STORY,https://finance.yahoo.com/news/gains-dollar-american-inflation-rises-160422794.html,0.523,POSITIVE,0.985
12/13/2024,16:04:22,Gains for the Dollar as American Inflation Rises as Expected,FX Empire,STORY,https://finance.yahoo.com/news/gains-dollar-american-inflation-rises-160422794.html,0.523,POSITIVE,0.985
12/13/2024,16:04:22,Gains for the Dollar as American Inflation Rises as Expected,FX Empire,STORY,https://finance.yahoo.com/news/gains-dollar-american-inflation-rises-160422794.html,0.523,POSITIVE,0.985
