date,text,PTR Sentiment,Flair Sentiment,Flair Score,Repost,Hastags
2023-11-17T15:07:34.000Z,Dreaming of your next vacation? RSVP Rewards™ can help you make it happen. Sign up during our Black Friday sale and save up to 43% on stays at select Sandman & Sutton Place hotels. Learn more here: https://vi.sa/3SN1RdI,0.51,POSITIVE,0.9914,0,[]
2023-10-27T16:14:42.000Z,"Thank you for having us @canadian_sme Our Visa Demo Stage provided an opportunity for 20 SMEs to highlight their businesses, including Visa Grant recipients @mondaygirlca,Crying Out Loud & Goldminds App.Learn more about our resources for SMEs: http://visa.ca/smallbusiness",0.5089,NEGATIVE,0.804,0,[]
2023-09-14T15:51:27.000Z,"This @VisaCA talk at @TIFF_NET was one of the highlights of my experience — it was such a raw, emotional moment, great questions from our moderator and an incredibly connected and community audience. Thank you for having me!",0.5344,POSITIVE,0.9857,0,[]
2023-09-15T17:10:53.000Z,"We're honoured to have hosted Canadian Director Fawzia Mirza for an intimate discussion with community groups about her film premiering at TIFF, The Queen of My Dreams. See how else we are expanding access to TIFF with the Visa Sharing the Screen program: http://visa.ca/sharingthescreen…",0.5079,POSITIVE,0.9305,0,[]
2023-09-14T14:00:05.000Z,We’ve got your next date night planned with the Visa Infinite Dining Series. Share delicious dishes and drinks at some of Canada's hottest restaurants from October to November.  Learn more here: https://vi.sa/3PEzHj8,0.5169,POSITIVE,0.9967,0,[]
2023-07-12T13:30:02.000Z,Congrats to our Visa Grant winners! Learn about all 10 women entrepreneurs here: https://vi.sa/3Oa5szH,0.5014,POSITIVE,0.9758,0,[]
2023-07-06T18:52:28.000Z,Experience fine dining at some of Canada's best restaurants and wineries with the Visa Infinite Dining Series. From July to September. Learn more here: https://vi.sa/3JHh76A,0.5181,POSITIVE,0.9683,0,[]
2023-07-05T14:00:02.000Z,Join us in celebrating the winners of our She’s Next Grant Program.,0.535,POSITIVE,0.9981,0,[]
2023-06-21T18:17:45.000Z,"To commemorate National Indigenous Peoples Day, we welcomed Tabatha Bull, President & CEO of the Canadian Council for Aboriginal Business to share her experiences, the positive impact of CCAB, and ways we can support & learn about the Indigenous community. Thank you, Tabatha ",0.5348,POSITIVE,0.993,0,[]
2023-06-21T14:00:02.000Z,Calling all cinema lovers! Takeadvantage of your early access to TIFF ticket packagesnow until June 28. Get excited for those red carpet looksand to experience the best of international andCanadian cinema.  #TIFF2023 Learn more here: https://vi.sa/44d3RhA,0.5113,POSITIVE,0.9761,0,['#TIFF2023']
2023-06-20T20:45:04.000Z,"Happy Pride! This month we’ve been celebrating at Nathan Phillips Square’s Pride Flag Raising Ceremony and at our Visa Pride Panel, featuring members of the LGBTQ2S+ community. Our goal is always to inspire a place where everyone feels accepted, respected and uplifted. #Pride",0.5067,POSITIVE,0.9986,0,['#Pride']
2023-06-08T14:00:03.000Z,"Venture into the vines, Visa Infinite Cardholders. Enjoy exclusive access to winery benefits like complimentary tastings, tours and discounts with our Wine Country Program. Learn more here: https://vi.sa/3oTIcfu",0.5054,POSITIVE,0.9847,0,[]
2023-05-30T17:23:32.000Z,"Our Digital Empowerment Program aims to bridge the digital divide. Last week, we provided 50 laptops and financial literacy education to new Canadians, totalling 900 laptops donated since October 2022. Thank you, @human_i_t and @bhivebrampton, for helping us make this happen. ",0.5413,POSITIVE,0.8553,0,[]
2023-05-16T14:00:02.000Z,"It’s tee off time!  DYK Visa Infinite cardholders can get amazing perks on golf fees, merchandise and lessons? More info here: https://vi.sa/42MBGpK",0.5058,NEGATIVE,0.9907,0,[]
2023-04-27T14:00:04.000Z,Discover a new season of dining experiences & perfect drink pairings with our latest Dining Series.Check out the full list of restaurants from around the country here: https://vi.sa/3n9kWZWFor Visa Infinite cardholders only. ,0.521,POSITIVE,0.9919,0,[]
2022-09-27T19:54:11.000Z,We’re proud to be once again named one of Canada’s “Best Workplaces in Financial Services and Insurance” by @GPTW_Canada. Thank you to our employees for making this possible! Read more: https://vi.sa/3Sq5iEc,0.5245,POSITIVE,0.8739,0,[]
2022-09-26T17:45:39.000Z,"Canadian businesses can now access their funds faster. @Square's instant transfers, enabled by Visa Direct, empower businesses to access their funds faster, improving cash flow and money movement across Canada. Find out more:",0.5123,POSITIVE,0.9919,0,[]
2022-09-15T16:22:16.000Z,Check out some of the events from the latest Visa Infinite Dining Series across Canada! View all events: https://vi.sa/3UoJMky,0.5037,POSITIVE,0.9868,0,[]
2022-09-12T14:55:40.000Z,"Get access to the Priority Line & Lounge inside the Visa Screening Room at the Princess of Wales Theatre, if your card says Visa Infinite. Lounge is available on a first-come, first-served basis. #TIFF22 #VISATIFF More info: https://vi.sa/3eLPYmp",0.5165,NEGATIVE,0.6066,0,"['#TIFF22', '#VISATIFF']"
2022-09-08T14:13:54.000Z,#TIFF22 is back and in full swing from now until Sept 18. Visit http://tiff.net for info and tickets. #VISATIFF @tiff_net,0.5689,POSITIVE,0.9815,0,"['#TIFF22', '#VISATIFF']"
2022-08-11T16:13:07.000Z,Paying for transit is becoming more hassle-free in the GTA with Visa tap to pay. Simply tap with your Visa contactless credit or payment-enabled device on a PRESTO terminal when getting on and off @GOtransit and @UPexpress. Learn more: https://vi.sa/3paAY35,0.5006,NEGATIVE,0.7835,0,[]
2022-07-02T13:36:53.000Z,"If you’re a foodie, you’ll want to check out the Visa Infinite Dining Series. Get access to multi-course meals with wine and cocktail pairings, plus chef appearances, at some of Canada’s top restaurantsLearn more: http://vi.sa/3yE5A2RFor Visa Infinite cardholders.",0.5052,POSITIVE,0.9302,0,[]
2022-06-29T20:31:35.000Z,"Enjoy a multi-course meal with wine and cocktail pairings, plus an experience with the chef at the 130-year-old Cross House, home to Calgary's Rouge Restaurant. Learn more & get tickets: https://vi.sa/3yE5A2RAugust 28th. For Visa Infinite cardholders.",0.5271,POSITIVE,0.9919,0,[]
2022-06-29T20:25:06.000Z,"If you're in Montreal, get access to a specially-curated, three-course menu plus a welcome drink from the skilled chefs at the stunning Ibérica. Learn more & get tickets: https://vi.sa/3yuBeztSelect days from July 24 - August 3. For Visa Infinite cardholders.",0.51,POSITIVE,0.98,0,[]
2022-04-23T13:55:06.000Z,"On May 12th, Visa Infinite Cardholders in Ottawa can get a multi-course, at-home dining experience with exceptional ingredients, wine and cocktails at @Becktadining. Get your tickets here, while quantities last: https://vi.sa/3xMsrcg",0.5122,POSITIVE,0.9069,0,[]
2022-04-23T13:55:03.000Z,"On May 11th, Visa Infinite Cardholders in Montreal can experience a special wine-forward collaboration with international chef Pam Yung at @vinmonlapin.Get your tickets here, while quantities last: https://vi.sa/3MpdSj4",0.5152,POSITIVE,0.97,0,[]
