Date Posted,Source,Headline,Preview,Link,PTR Headline Sentiment,Flair Headline Outlook,Flair Headline Score,PTR Preview Sentiment,Flair Preview Outlook,Flair Preview Score
11/22/2024,VisasNews,China: visa-free policy extended to 30 days,https://visasnews.com/en/china-visa-free-policy-extended-to-30-days/,"From November 30, 2024, visa-free stays in China will increase from 15 to 30 days, and nine new countries will be added to the list of...",0.52,NEGATIVE,0.975,0.516,NEGATIVE,0.919
11/22/2024,Bloomberg,Americans Weigh Golden Visa Options in Aftermath of Trump Win,https://www.bloomberg.com/news/articles/2024-11-22/golden-visa-rules-for-us-citizens-trump-win-drives-interest-in-moving-overseas,"Despite backlash in Europe on programs that offer residency and citizenship through investments, there are still ways to move overseas.",0.508,NEGATIVE,0.658,0.519,NEGATIVE,0.679
11/24/2024,IMI Daily,EU Parliament Votes to Permanently End Vanuatu’s Schengen Visa Waiver,https://www.imidaily.com/asia-pacific/eu-parliament-votes-to-permanently-end-vanuatus-schengen-visa-waiver/,"EU Parliament says ""this is the first time ever the EU has revoked a third country from the visa-free list.""",0.507,POSITIVE,0.546,0.512,NEGATIVE,0.871
11/22/2024,Daily Sabah,"Schengen denials climb, Ankara pushes EU for visa liberalization | Daily Sabah",https://www.dailysabah.com/politics/eu-affairs/schengen-denials-climb-ankara-pushes-eu-for-visa-liberalization,Ankara continues to face rising visa rejections and reiterates its call for the bloc to move forward with visa liberalization talks.,0.501,NEGATIVE,0.997,0.505,NEGATIVE,0.995
11/24/2024,LoyaltyLobby,"China Reinstates Visa-Free Travel To Japanese On November 30, 2024",https://loyaltylobby.com/2024/11/24/china-reinstates-visa-free-travel-to-japanese-on-november-30-2024/,"China will reinstate visa-free travel for Japanese for visits up to 30 days on November 30, 2024.",0.523,NEGATIVE,0.998,0.52,NEGATIVE,0.999
11/22/2024,Global Times,"China offers full visa-free access to 25 countries, will create more convenience for people-to-people exchanges: FM official",https://www.globaltimes.cn/page/202411/1323590.shtml,"China has offered full visa-free access to 25 countries, signing mutual visa-free agreements with six countries, including Singapore,...",0.51,NEGATIVE,0.969,0.501,POSITIVE,0.886
11/22/2024,Global Times,"China extends unilateral visa-free policy to nine more countries including Japan, bringing total to 38",https://www.globaltimes.cn/page/202411/1323594.shtml,"China's Foreign Ministry said on Friday to extend visa-free policy to nine more countries. Between November 30, 2024 and December 31, 2025,...",0.536,NEGATIVE,0.663,0.501,POSITIVE,0.912
11/10/2024,Reuters,"Visa launches flexible payments feature in US, UAE",https://www.reuters.com/business/finance/visa-teams-up-with-affirm-launch-card-flexible-payments-us-2024-11-12/,"Visa said on Tuesday it was rolling out a flexible payments feature in the U.S. and the United Arab Emirates, as it looks to capitalize on...",0.516,POSITIVE,0.883,0.536,POSITIVE,0.968
11/19/2024,Al Jazeera,Palestinian Canadians condemn ‘betrayal’ of faltering Gaza visa scheme,https://www.aljazeera.com/news/2024/11/19/palestinian-canadians-condemn-betrayal-of-faltering-gaza-visa-scheme,Advocates call on Canada to apply pressure on Israel to get Palestinians approved for visas out of the Gaza Strip.,0.5,NEGATIVE,0.994,0.51,NEGATIVE,0.999
11/17/2024,Euronews,What are ‘golden visas’ and which EU countries still hand them out?,https://www.euronews.com/travel/2024/11/15/what-is-a-golden-visa-and-why-are-some-countries-giving-them-up-for-good,Spain moves closer to golden visa ban - while one country is reintroducing its scheme.,0.517,NEGATIVE,0.975,0.522,NEGATIVE,0.847
