Date Posted,Source,Headline,Preview,Link,PTR Headline Sentiment,Flair Headline Outlook,Flair Headline Score,PTR Preview Sentiment,Flair Preview Outlook,Flair Preview Score
11/19/2024,POLITICO.eu,France (and the eurozone) face make-or-break moment on budget black hole,https://www.politico.eu/article/france-budget-eurozone-michel-barnier-spending-cuts-tax-increases/,The fate of Barnier's budget will show how seriously Paris takes European rules on public spending.,0.497,NEGATIVE,0.97,0.499,NEGATIVE,0.703
11/19/2024,GOV.UK,"Joint Declaration by the Foreign Ministers of Germany, France, Poland, Italy, Spain and the United Kingdom in Warsaw, 19 November",https://www.gov.uk/government/news/joint-declaration-by-the-foreign-ministers-of-germany-france-poland-italy-spain-and-the-united-kingdom-in-warsaw-19-november,"The Foreign Ministers of the Weimar Triangle from Germany, France and Poland discussed European security with the Foreign Ministers of Italy...",0.509,POSITIVE,0.983,0.515,POSITIVE,0.588
11/20/2024,The Independent,France’s Le Pen threatens to topple government over ‘red lines’ on high cost of living,https://www.independent.co.uk/news/world/europe/france-le-pen-macron-budget-b2650453.html,"France's Marine Le Pen, leader of the far-right National Rally (RN) party has threatened to topple the country's fragile coalition...",0.517,NEGATIVE,0.993,0.524,POSITIVE,0.729
11/20/2024,France 24,'A vision of benevolence': Why Chilean poet Pablo Neruda’s legacy endures in France,https://www.france24.com/en/europe/20241120-why-pablo-neruda-legacy-continues-to-thrive-in-france,"French President Emmanuel Macron paid tribute to Pablo Neruda at the poet's former home in Santiago during his visit to Chile on Wednesday,...",0.499,POSITIVE,0.992,0.51,POSITIVE,0.999
11/19/2024,The Times,France risks losing foreign investment due to political instability,https://www.thetimes.com/business-money/companies/article/france-risks-losing-foreign-investment-due-to-political-instability-j7znfd8rt,"France is losing its appeal to foreign investors because of political instability, rising unemployment and a shrinking industrial base as...",0.502,NEGATIVE,0.867,0.531,NEGATIVE,0.812
11/19/2024,The Telegraph,‘Sorry state of affairs’ as France tempts companies to quit Britain,https://www.aljazeera.com/program/newsfeed/2024/11/19/manure-tractors-and-anger-farmers-in-france-protest-eu-mercosur-deal,France has launched a UK advertising blitz as it tries to lure away disillusioned businesses following Rachel Reeves's tax raid.,0.518,NEGATIVE,0.999,0.512,NEGATIVE,0.976
11/19/2024,New Statesman,France’s hollow Islamist reckoning,https://www.france24.com/en/europe/20241118-french-farmers-mercosur-trade-talks-foreign-competition,"The year of 2015 was a crisis both for France and for Emmanuel Carrère, France's greatest living writer of non-fiction.",0.5,NEGATIVE,0.999,0.515,POSITIVE,0.898
11/19/2024,Defense News,"France, Germany, UK, US make Norway’s billion-dollar frigate shortlist",https://www.euractiv.com/section/politics/news/france-wont-sign-eu-mercosur-agreement-confirms-emmanuel-macron/,"PARIS — Norway has narrowed the choice of possible partner countries for its future frigate program to France, Germany, the U.K. and the...",0.521,NEGATIVE,0.998,0.529,POSITIVE,0.782
11/20/2024,Harlequins FC,Isgro starts for Los Pumas in France,https://www.lemonde.fr/en/opinion/article/2024/11/18/eu-mercosur-trade-deal-france-up-against-its-own-powerlessness_6733173_23.html,Rodrigo Isgro will lineup on the wing once more for Argentina this autumn as they take on France in Paris on Friday night (20:10 kick-off).,0.499,NEGATIVE,0.592,0.509,NEGATIVE,0.649
11/19/2024,Ministère de l'Europe et des Affaires étrangères,France condemns Russian strikes in Ukraine,https://www.telegraph.co.uk/business/2024/11/19/france-seeks-lure-british-companies-advertising-blitz/,"Paris, 18 November 2024. France condemns in the strongest possible terms Russia's massive strikes on Ukrainian civilian infrastructure.",0.509,NEGATIVE,0.996,0.542,NEGATIVE,0.984
11/20/2024,Exeter Chiefs,Molina Part of Pumas Squad for French Clash,https://www.newstatesman.com/ideas/2024/11/frances-hollow-islamist-reckoning,"A week on from a close result against Ireland, Chiefs lock Franco Molina has retained his spot in the Pumas 23 to take on France in Paris this weekend.",0.51,POSITIVE,0.998,0.505,NEGATIVE,0.989
11/20/2024,Financial Times,Miles Davis in France 1963 & 1964 album review — soul-searing performances,https://www.bbc.co.uk/sport/rugby-league/articles/cn9xer7zz10o,"The eighth volume of Sony Legacy's Bootleg series, a six-CD box set, traces the formation of Miles Davis's second great quintet between 1963...",0.504,POSITIVE,1.0,0.51,POSITIVE,0.889
11/18/2024,The Home of Rugby League,England Wheelchair squads announced to play France & Spain,https://www.rugbypass.com/news/world-cup-winning-halfback-on-cam-roigards-substitution-in-france-loss/,Adam Rigby of Wigan Warriors has been appointed to captain an England Wheelchair team including three debutants in Thursday's international against Spain in...,0.514,NEGATIVE,0.571,0.518,POSITIVE,0.573
11/17/2024,Aston Villa Football Club,Lucas Digne stars on 50th France appearance,https://rugby365.com/countries/france/france-change-three-for-argentina-clash/,"Lucas Digne played a starring role on his 50th international appearance on Sunday evening, as France recorded a 3-1 UEFA Nations League...",0.5,POSITIVE,1.0,0.515,NEGATIVE,0.547
11/18/2024,OffshoreWIND.biz,12 Developers in Running for Four New Offshore Wind Sites in France,https://www.planetrugby.com/news/france-v-argentina-preview-fabien-galthies-monsters-to-get-the-job-done-over-ever-improving-los-pumas,"The French government has pre-qualified twelve candidates for the AO9 tender, which offers four new sites for offshore wind development,...",0.557,POSITIVE,0.989,0.509,NEGATIVE,0.995
11/17/2024,BBC,France 30-29 New Zealand: Hosts inflict All Blacks' first autumn loss,https://www.defensenews.com/global/europe/2024/11/19/france-germany-uk-us-make-norways-billion-dollar-frigate-shortlist/,"France fight back to edge out New Zealand, inflicting their first defeat of the Autumn Nations Series campaign.",0.553,NEGATIVE,0.988,0.528,NEGATIVE,0.983
11/20/2024,Le Monde.fr,French farmers lift border blockade,https://www.quins.co.uk/article/isgro-starts-for-los-pumas-in-france,"After discussions with Prime Minister Michel Barnier, hard-line farmers' union Coordination Rurale lifted its roadblock for heavy trucks on...",0.5,NEGATIVE,0.623,0.509,NEGATIVE,0.987
11/20/2024,Reuters,France's Arnault family says buying Paris FC soccer club is long-term investment,https://uk.ambafrance.org/France-condemns-Russian-strikes-in-Ukraine,Billionaire Bernard Arnault's family aims to gradually lift second-tier Paris FC to be among the elite of French and European soccer by...,0.535,POSITIVE,0.966,0.511,NEGATIVE,0.998
11/18/2024,Euractiv,"France, Greece, Italy renew push against alternative proteins",https://www.exeterchiefs.co.uk/news/molina-part-of-pumas-squad-for-french-clash,"If the proposal means lab-grown meat, Italy is ""firmly against it"", said Agriculture Minister Francesco Lollobrigida.",0.501,POSITIVE,0.939,0.52,NEGATIVE,0.592
11/17/2024,BT Sport,France 30-29 New Zealand: Les Bleus grind out thrilling victory over All Blacks in Autumn Nations Series,https://www.ft.com/content/3d61a373-4ec6-4f02-ac2b-1136d62bda47,France produced a fantastic display to seal a stunning 30-29 victory over New Zealand in the Autumn Nations Series.,0.533,POSITIVE,1.0,0.506,POSITIVE,0.988
11/20/2024,Le Monde.fr,"At the trial of Le Pen and her party, the other accused are hardly defended",https://www.rugby-league.com/article/63286/england-wheelchair-squads-announced-to-play-france-&-spain,"NEWS ANALYSIS. The far-right Rassemblement National's lawyers are intent on getting Marine Le Pen through the embezzlement trial unscathed,...",0.501,NEGATIVE,0.987,0.511,POSITIVE,0.518
