Date Posted,Source,Headline,Preview,Link,PTR Headline Sentiment,Flair Headline Outlook,Flair Headline Score,PTR Preview Sentiment,Flair Preview Outlook,Flair Preview Score
11/19/2024,GOV.UK,"Joint Declaration by the Foreign Ministers of Germany, France, Poland, Italy, Spain and the United Kingdom in Warsaw, 19 November",https://www.gov.uk/government/news/joint-declaration-by-the-foreign-ministers-of-germany-france-poland-italy-spain-and-the-united-kingdom-in-warsaw-19-november,"We, the Foreign Ministers of France, Germany, Italy, Poland, Spain and the United Kingdom, have come together today, recognizing that our...",0.509,POSITIVE,0.983,0.515,POSITIVE,0.588
11/20/2024,Reuters,"UK inflation jumps to 2.3%, underscoring BoE's stance for gradual rate cuts",https://www.reuters.com/world/uk/uk-inflation-rises-23-october-2024-11-20/,British inflation jumped by more than expected last month to rise back above the Bank of England's 2% target and underlying price growth...,0.504,NEGATIVE,0.995,0.529,NEGATIVE,0.974
11/20/2024,BBC,Snow and ice bring minor disruption to parts of UK,https://www.bbc.co.uk/news/live/cdxvdyzv5nvt,Freezing temperatures and snowfall overnight have brought minor disruption to some parts of the UK this morning. Yellow weather warnings for...,0.514,NEGATIVE,0.934,0.523,POSITIVE,0.955
11/20/2024,Al Jazeera,Why have British farmers marched on UK’s Parliament?,https://www.aljazeera.com/features/2024/11/20/why-have-british-farmers-marched-on-uks-parliament,British farmers say they will be forced to sell farms under inheritance tax reforms.,0.501,NEGATIVE,0.998,0.505,NEGATIVE,0.999
11/20/2024,The Telegraph,The UK’s best Christmas and New Year breaks to book now,https://www.telegraph.co.uk/travel/destinations/europe/united-kingdom/christmas-new-year-uk-breaks-book-now/,"The UK's best Christmas and New Year breaks to book now. From a group getaway in a cottage to an extravagant Hogmanay trip, there's still...",0.663,POSITIVE,0.998,0.579,NEGATIVE,0.801
11/20/2024,Financial Times,UK military to scrap older warships and helicopters in £500mn saving drive,https://www.ft.com/content/1bdbb534-a90d-4852-96ce-8213f05d3eca,"The UK will retire ageing helicopters and sea vessels under plans to save £500mn in the coming five years, defence secretary John Healey has...",0.506,POSITIVE,0.81,0.507,POSITIVE,0.939
11/20/2024,POLITICO.eu,Ban the polls: UK election strategists slam ‘inaccurate’ voter surveys,https://www.politico.eu/article/ban-polls-uk-election-strategists-slam-inaccurate-voter-surveys-morgan-mcsweeney-keir-starmer-isaac-levido/,"Tory Isaac Levido and Labour's Morgan McSweeney both see the case for a black-out on publishing polls ahead of election day, according to a...",0.505,NEGATIVE,0.999,0.502,NEGATIVE,1.0
11/20/2024,The War Zone,British Defense Cuts Hit All Three Services Hard,https://www.twz.com/air/british-defense-cuts-hit-all-three-services-hard,"The United Kingdom has announced sweeping cuts of its Armed Forces as it seeks to save money, despite the precarious security situation in...",0.551,POSITIVE,0.538,0.534,NEGATIVE,0.955
11/19/2024,inews.co.uk,"Putin’s nuclear threat will not stop UK support for Ukraine, says Starmer",https://www.aljazeera.com/news/liveblog/2024/11/20/live-us-closes-embassy-in-ukraine-over-significant-russian-attack-risk,The Prime Minister has warned Brits would 'pay a high cost' if the UK backed down over Ukraine.,0.524,NEGATIVE,0.97,0.525,NEGATIVE,0.995
11/20/2024,GOV.UK,Joint Statement by the governments of the United Kingdom and Brazil: 19 November 2024,https://www.politico.eu/article/uk-storm-shadow-missiles-reportedly-fired-on-russian-targets/,"The Prime Minister of the United Kingdom, Sir Keir Starmer, and the President of Brazil, Luiz Inácio Lula da Silva, met in the margins of...",0.517,POSITIVE,0.983,0.509,NEGATIVE,0.996
11/20/2024,Department of Education NI,Northern Ireland hosts UK Education Ministers’ Council meeting,https://www.abc.net.au/news/2024-11-21/uk-storm-shadow-missiles-reportedly-hit-targets-inside-russia/104627616,"Education Minister Paul Givan welcomed Education Ministers and senior officials from across the UK to Laurelhill Community College,...",0.512,POSITIVE,0.931,0.55,NEGATIVE,0.823
11/20/2024,BBC,UK inflation rate: How quickly are prices rising?,https://www.reuters.com/world/europe/ukraine-fires-uk-storm-shadow-missiles-into-russia-bloomberg-reports-2024-11-20/,The rate at which prices are rising is back above the Bank of England's target of 2%.,0.51,NEGATIVE,0.998,0.528,POSITIVE,0.559
11/20/2024,ING Think,Sticky UK services inflation to keep BoE cutting gradually (for now),https://inews.co.uk/news/politics/putin-nuclear-threat-not-stop-uk-support-ukraine-starmer-3389736,"UK services inflation was a tad hotter than the economist consensus had expected in October. But at 5%, it's only fractionally higher than...",0.556,NEGATIVE,0.992,0.52,NEGATIVE,0.735
11/20/2024,KPMG,Finance Bill: Amendments to the UK’s existing Pillar Tw,https://www.gov.uk/government/news/joint-statement-by-the-governments-of-the-united-kingdom-and-brazil-19-november-2024,Includes the introduction of UTPR legislation into UK domestic law and anti-arbitrage rules for transitional CbCR safe harbours.,0.505,POSITIVE,0.984,0.522,NEGATIVE,0.51
11/20/2024,GOV.UK,All stakeholders must work towards a secure and stable Haiti: UK statement at the UN Security Council,https://www.education-ni.gov.uk/news/northern-ireland-hosts-uk-education-ministers-council-meeting,"Statement by Ambassador James Kariuki, UK Deputy Permanent Representative to the UN, at the UN Security Council meeting on Haiti.",0.516,POSITIVE,0.973,0.516,POSITIVE,0.751
11/20/2024,CIDRAP,"UK reports decade-low levels of antibiotic sales, resistance on farms",https://www.bbc.co.uk/news/business-12196322,New data from the United Kingdom show that sales of antibiotics for use in food-producing animals remain at decade-low levels.,0.562,NEGATIVE,0.993,0.57,POSITIVE,0.947
11/19/2024,EEAS,Introducing the winners of the 2024 EmpowerEU Awards!,https://think.ing.com/snaps/sticky-uk-services-inflation-to-keep-boe-cutting-gradually-for-now/,The winners have been announced of the 2024 EmpowerEU Awards - the awards that celebrate EU citizens in the UK and inspiring young leaders...,0.504,POSITIVE,0.999,0.539,NEGATIVE,0.959
11/15/2024,TotalEnergies.com,TotalEnergies in the United Kingdom,https://kpmg.com/uk/en/home/insights/2024/11/tmd-finance-bill-amendments-to-the-uk-s-existing-pillar-two-rules.html,TotalEnergies in the United Kingdom ... TotalEnergies is one of the largest energy operators in the United Kingdom. For more than 60 years we've...,0.503,POSITIVE,0.992,0.516,NEGATIVE,0.679
11/20/2024,Reuters,"UK inflation could undershoot forecasts, requiring faster rate cuts, BoE's Ramsden says",https://www.gov.uk/government/speeches/all-stakeholders-must-work-towards-a-secure-and-stable-haiti-uk-statement-at-the-un-security-council,"British inflation is at least as likely to undershoot the Bank of England's latest forecasts as it is to match them, potentially requiring...",0.519,NEGATIVE,0.988,0.515,POSITIVE,0.975
11/20/2024,GOV.UK,Two Roman mosaics are at risk of leaving the UK,https://www.cidrap.umn.edu/antimicrobial-stewardship/uk-reports-decade-low-levels-antibiotic-sales-resistance-farms,Export bars have been placed on two geometric and patterned Roman mosaics dating back to the fourth century AD that are at risk of leaving...,0.523,NEGATIVE,0.99,0.535,POSITIVE,0.548
11/20/2024,GOV.UK,"We voted for this resolution as an expression of our determination to end this war, stop the suffering in Gaza and secure the immediate release of the hostages: UK Statement at the UN Security Council",https://www.eeas.europa.eu/delegations/united-kingdom/introducing-winners-2024-empowereu-awards_en,"UK explanation of vote delivered by Ambassador Barbara Woodward, UK Permanent Representative to the UN, following the vote on the E10 draft...",0.518,POSITIVE,0.988,0.502,POSITIVE,0.995
11/20/2024,GOV.UK,UK strengthens ties with Angola and São Tomé and Príncipe,https://totalenergies.com/united-kingdom,Bharat Joshi presented his credentials in São Tomé and Príncipe to be the UK Ambassador to Angola and São Tomé and Príncipe.,0.509,POSITIVE,0.989,0.511,POSITIVE,0.952
11/18/2024,GOV.UK,Development of battle-winning hypersonic technology accelerated under new AUKUS deal,https://www.reuters.com/world/uk/uk-inflation-could-undershoot-forecasts-requiring-faster-rate-cuts-boes-ramsden-2024-11-20/,"New arrangement to accelerate battle-winning capabilities of the future and bolster collective security of UK, US and Australia.",0.588,POSITIVE,0.993,0.519,NEGATIVE,0.98
11/18/2024,GOV.UK,UK and US join forces to speed up advanced nuclear technologies,https://www.gov.uk/government/news/two-roman-mosaics-are-at-risk-of-leaving-the-uk,"New agreement for civil nuclear collaboration signed by UK and US at COP29 in Baku, helping strengthen energy security.",0.534,POSITIVE,0.974,0.525,NEGATIVE,0.993
11/20/2024,Reuters,"UK to scrap Royal Navy ships, retire helicopters to save $633 mln",https://www.gov.uk/government/speeches/we-voted-for-this-resolution-as-an-expression-of-our-determination-to-end-this-war-stop-the-suffering-in-gaza-and-secure-the-immediate-release-of-the,British defence minister John Healey said on Wednesday he would free up 500 million pounds ($633 million) for military budgets over five...,0.54,NEGATIVE,0.999,0.516,POSITIVE,0.959
11/20/2024,POLITICO.eu,"UK scraps older warships, helicopters and drones in cost-saving plan",https://www.gov.uk/government/news/uk-strengthens-ties-with-angola-and-sao-tome-and-principe,"The U.K. is scrapping five warships, along with a dozen military helicopters and drones, as part of a cost-cutting program for the army,...",0.519,NEGATIVE,0.974,0.517,POSITIVE,0.978
11/20/2024,BBC,"Bedfordshire Universal theme to ""dramatically"" change tourism",https://www.gov.uk/government/news/development-of-battle-winning-hypersonic-technology-accelerated-under-new-aukus-deal,Sir Chris Bryant says the theme park could provide a vital boost to visitor numbers for the United Kingdom.,0.5,POSITIVE,0.995,0.564,POSITIVE,0.537
