date,text,PTR Sentiment,Flair Sentiment,Flair Score,Repost,Hastags
2024-11-06T14:00:01.000Z, UniCredit: 3Q24 and 9M24 Group Results Ushering in a new era of sustainable quality growth #UniCredit #UniCreditUnlocked #FinancialResults #Financial,0.574,POSITIVE,0.9991,0,"['#UniCredit', '#UniCreditUnlocked', '#FinancialResults', '#Financial']"
2024-11-06T09:02:00.000Z," ""We reported our fifteenth consecutive quarter of profitable growth and record financial results. All our regions are contributing to our success while they reap the benefits of a larger Group."" Andrea Orcel, #UniCredit Group CEO commenting our 3Q24 and 9M24 Group #Results",0.5633,POSITIVE,0.9963,0,"['#UniCredit', '#Results']"
2024-11-06T06:35:56.000Z, UniCredit: 3Q24 and 9M24 Group Results Fifteenth consecutive quarter of profitable growth and sequential improvements to our KPIs: demonstrates 𝗮 𝗻𝗲𝘄 𝗲𝗿𝗮 𝗼𝗳 𝘀𝘂𝘀𝘁𝗮𝗶𝗻𝗮𝗯𝗹𝗲 𝗾𝘂𝗮𝗹𝗶𝘁𝘆 𝗴𝗿𝗼𝘄𝘁𝗵. #UniCredit #UniCreditUnlocked #Financial #Results,0.5342,POSITIVE,0.9922,0,"['#UniCredit', '#UniCreditUnlocked', '#Financial', '#Results']"
2024-11-06T06:32:33.000Z, UniCredit: 3Q24 and 9M24 Group Results Fifteenth consecutive quarter of profitable growth and sequential improvements to our KPIs: demonstrates 𝗮 𝗻𝗲𝘄 𝗲𝗿𝗮 𝗼𝗳 𝘀𝘂𝘀𝘁𝗮𝗶𝗻𝗮𝗯𝗹𝗲 𝗾𝘂𝗮𝗹𝗶𝘁𝘆 𝗴𝗿𝗼𝘄𝘁𝗵. #UniCreditUnlocked #Financial #Results,0.5356,POSITIVE,0.9906,0,"['#UniCreditUnlocked', '#Financial', '#Results']"
2024-02-04T16:00:00.000Z, Tomorrow morning we will release our 4Q23 and FY23 Group results presentation. Live audio webcast and conference call from 10.00 CET. #UniCredit #FinancialResults #UniCreditUnlocked,0.5265,NEGATIVE,0.9228,0,"['#UniCredit', '#FinancialResults', '#UniCreditUnlocked']"
2023-12-22T08:30:06.000Z," Weltpostverein rechnet mit Rekord von 8 Millionen Briefen, die an das Christkind verschickt werden  Weihnachten - Enorme weltweite Spendenbereitschaft Bemühungen um Waffenruhe in Gazahttps://scom.ly/gW5vGL9#Börsenkommentar #Augenblick",0.5,POSITIVE,0.8677,0,"['#Börsenkommentar', '#Augenblick']"
2023-12-21T08:30:06.000Z, US-Börsen schließen deutlich im Minus - Verkaufswelle im späten Geschäft Studie - Preise für Wohnimmobilien werden 2024 weiter sinken Putin beschlagnahmt Beteiligungen von Wintershall Dea und OMVhttps://scom.ly/gW5vGL9#Börsenkommentar #Augenblick,0.5032,POSITIVE,0.8637,0,"['#Börsenkommentar', '#Augenblick']"
2023-12-20T08:30:05.000Z," Kinder, Kinder: Playmobil macht erstmals Verlust - Relevanz in Kinderzimmern zurückgegangen Bayer verliert erneut PCB-Prozess in den USA Kanada lässt ab 2035 nur noch Fahrzeuge ohne CO2-Ausstoß zuhttps://scom.ly/gW5vGL9#Börsenkommentar #Augenblick",0.5016,POSITIVE,0.9992,0,"['#Börsenkommentar', '#Augenblick']"
2023-12-19T08:30:05.000Z, USA kündigen multinationalen Einsatz im Roten Meer an  Deutschland und sechs andere Staaten wollen bis 2035 CO2-Kraftwerke verbannen Monsanto erneut wegen PCB in US-Schule zu Millionenstrafe verurteilthttps://scom.ly/gW5vGL9#Börsenkommentar #Augenblick,0.5039,POSITIVE,0.9986,0,"['#Börsenkommentar', '#Augenblick']"
2023-12-18T08:30:05.000Z, Kritik an Habecks abruptem Stopp von E-Auto-Förderung Säbelrasseln - Nordkorea feuert ballistische Langstreckenrakete ab Putin droht Finnland mit - Wortzitat - Problemenhttps://scom.ly/gW5vGL9#Börsenkommentar #Augenblick,0.5022,POSITIVE,0.8446,0,"['#Börsenkommentar', '#Augenblick']"
