Date of Article,Time of Article,title,published,type,link,PTR Headline Sentiment,Flair Headline Sentiment,Flair Score
11/07/2024,13:07:04,Bank of England Cuts Interest Rates Ahead of Fed Meeting; Pound Strengthens,The Wall Street Journal,STORY,https://finance.yahoo.com/m/6400527f-48cd-35ac-a195-22e026e7c4d8/bank-of-england-cuts-interest.html,0.521,POSITIVE,0.509
11/06/2024,11:59:18,Major Weekly Events for the Forex Market,FX Empire,STORY,https://finance.yahoo.com/news/major-weekly-events-forex-market-115918241.html,0.561,POSITIVE,0.92
10/31/2024,16:52:33,"U.K. Pound, Bonds Extend Slide Spurred by Government's Borrowing Plans",The Wall Street Journal,STORY,https://finance.yahoo.com/m/14fe2879-e534-3e3b-90aa-60facaecf96f/u.k.-pound%2C-bonds-extend.html,0.505,NEGATIVE,0.852
10/30/2024,16:07:48,U.K. Bonds Swing After Government Unveils Budget Plans,The Wall Street Journal,STORY,https://finance.yahoo.com/m/ed60d518-3364-3ea1-a855-b4d6863019aa/u.k.-bonds-swing-after.html,0.51,NEGATIVE,0.999
10/13/2024,16:58:46,"Pounds to Dollars Outlook: Uptick US CPI Dampens Recovery, Eyes on 1.3000",FX Empire,STORY,https://finance.yahoo.com/news/pounds-dollars-outlook-uptick-us-155846353.html,0.516,NEGATIVE,0.998
10/11/2024,12:54:11,Limited Strength for the Dollar After Higher Than Expected American Inflation,FX Empire,STORY,https://finance.yahoo.com/news/limited-strength-dollar-higher-expected-115411740.html,0.535,NEGATIVE,0.999
10/04/2024,09:11:25,Middle East Crisis: Is the US Dollar Ultimate Beneficiary or Gold?,FX Empire,STORY,https://finance.yahoo.com/news/middle-east-crisis-us-dollar-081125032.html,0.513,NEGATIVE,0.983
10/03/2024,12:27:15,The Dollar Stages a Small Comeback,The Wall Street Journal,STORY,https://finance.yahoo.com/m/62a90a5b-c1c3-3e61-a6d4-b60350a33e10/the-dollar-stages-a-small.html,0.501,NEGATIVE,0.94
11/22/2024,10:08:26,Sterling Faces Challenges After Mostly Weaker Data,FX Empire,STORY,https://finance.yahoo.com/news/sterling-faces-challenges-mostly-weaker-100826174.html,0.513,NEGATIVE,0.993
12/13/2024,16:04:22,Gains for the Dollar as American Inflation Rises as Expected,FX Empire,STORY,https://finance.yahoo.com/news/gains-dollar-american-inflation-rises-160422794.html,0.523,POSITIVE,0.985
